ID,シリアルナンバー,設置建屋,階,設置場所,ホスト情報,MACアドレス,無線MACアドレス,備考,所属,機種,種別,OS起動種別,貸出PC用MACグループ,情セ管理番号,大学管財番号,4階層図用種別,ベンダー
1904,54015153E,12,3,10202教室,2184,40:c2:ba:46:f7:7e,a0:d3:65:79:61:cf,,1,13,10,1,0,,2024-00733(002),2,9
1905,54015145E,12,3,10203教室,2185,40:c2:ba:47:08:ad,a0:d3:65:5b:01:35,,1,13,10,1,0,,2024-00733(003),2,9
1906,54015610E,12,3,10204教室,2186,40:c2:ba:46:f7:75,a0:d3:65:5b:01:30,,1,13,10,1,0,,2024-00733(004),2,9
1907,54015146E,12,3,10205教室,2187,40:c2:ba:46:f7:6a,a0:d3:65:79:61:93,,1,13,10,1,0,,2024-00733(005),2,9
1908,54015336E,12,3,10206教室,2188,40:c2:ba:46:f7:63,a0:d3:65:79:64:68,,1,13,10,1,0,,2024-00733(006),2,9
1909,54015164E,12,4,10302教室,2189,40:c2:ba:47:08:ae,a0:d3:65:22:19:8d,,1,13,10,1,0,,2024-00733(007),2,9
1910,54015286E,12,5,10401教室,2190,40:c2:ba:47:08:df,a0:d3:65:45:95:cf,,1,13,10,1,0,,2024-00733(009),2,9
1911,54015279E,12,5,10403教室,2191,40:c2:ba:46:d4:26,a0:d3:65:22:0d:df,,1,13,10,1,0,,2024-00733(010),2,9
1912,54015194E,12,4,3F教材準備室,2192,40:c2:ba:47:08:ec,a0:d3:65:20:63:c2,,1,13,4,1,0,,2024-00733(011),4,9
1913,54015216E,12,4,3F教材準備室,2193,40:c2:ba:46:f7:6f,a0:d3:65:5b:16:2f,,1,13,4,1,0,,2024-00733(012),4,9
1914,54015298E,12,5,4F教材準備室,2194,40:c2:ba:46:f7:6d,a0:d3:65:45:95:de,,1,13,4,1,0,,2024-00733(013),4,9
1915,54015195E,12,5,4F教材準備室,2195,bc:ec:a0:3f:17:81,a0:d3:65:22:0d:cb,,1,13,4,1,0,,2024-00733(014),4,9
1916,54015179E,12,4,開発作業室,2196,40:c2:ba:46:d4:4e,a0:d3:65:22:19:6f,2026/3撤去（元11202教室設置）,1,13,8,1,0,,2024-00733(046),2,9
1917,54015149E,13,2,教員室,2197,40:c2:ba:46:f7:3e,a0:d3:65:79:4f:78,,1,13,4,1,0,,2024-00733(047),4,9
1918,54015429E,14,4,12306教室,2198,40:c2:ba:46:f7:ba,a0:d3:65:79:4f:2d,,1,13,10,1,0,,2024-00733(048),2,9
1919,54015293E,15,3,13223教員室,2199,40:c2:ba:46:f7:a3,a0:d3:65:45:95:52,,1,13,4,1,0,,2024-00733(050),4,9
1920,54015268E,15,3,13223教員室,2200,40:c2:ba:46:d4:2c,a0:d3:65:5b:01:44,,1,13,4,1,0,,2024-00733(051),4,9
1921,54015430E,16,2,14110教員室,2201,40:c2:ba:46:f7:61,a0:d3:65:79:4f:55,,1,13,4,1,0,,2024-00733(055),4,9
1922,54015394E,17,2,15101教員室,2202,bc:ec:a0:3f:17:7b,a0:d3:65:45:96:74,,1,13,4,1,0,,2024-00733(056),4,9
1923,54015232E,7,3,5201教室,2203,40:c2:ba:47:08:ac,a0:d3:65:22:19:4c,,1,13,10,1,0,,2024-00733(061),2,9
1924,54015172E,7,3,5202教室,2204,40:c2:ba:47:08:c7,a0:d3:65:22:0e:0c,,1,13,10,1,0,,2024-00733(062),2,9
1925,54015299E,7,2,51A5教員室,2205,40:c2:ba:46:f7:6b,a0:d3:65:45:95:c5,,1,13,4,1,0,,2024-00733(057),4,9
1926,54015160E,7,2,51A5教員室,2206,40:c2:ba:47:08:a6,a0:d3:65:5b:01:4e,,1,13,4,1,0,,2024-00733(058),4,9
1927,54015250E,7,2,51A5教員室,2207,40:c2:ba:47:08:f9,a0:d3:65:44:e5:58,,1,13,4,1,0,,2024-00733(059),4,9
1928,54015275E,7,2,51A5教員室,2208,40:c2:ba:46:f7:c5,a0:d3:65:45:84:13,,1,13,4,1,0,,2024-00733(060),4,9
1929,54015192E,11,4,物入,2209,40:c2:ba:47:08:a4,a0:d3:65:22:0e:8e,,1,13,4,1,0,,2024-00733(073),4,9
1930,54015664E,4,3,S207教室,2210,40:c2:ba:46:f7:4c,a0:d3:65:44:8b:fd,,1,13,10,1,0,,2024-00733(078),2,9
1931,54015658E,4,3,S208教室,2211,40:c2:ba:46:d4:21,a0:d3:65:45:45:11,,1,13,10,1,0,,2024-00733(079),2,9
1932,54015123E,4,3,S214教室,2212,40:c2:ba:46:d4:2f,a0:d3:65:5b:01:5d,,1,13,10,1,0,,2024-00733(081),2,9
1933,54015460E,4,2,教員室,2213,40:c2:ba:47:08:d9,a0:d3:65:47:03:9c,,1,13,4,1,0,,2024-00733(118),4,9
1934,54015247E,4,2,教員室,2214,40:c2:ba:47:08:d8,a0:d3:65:22:19:01,,1,13,4,1,0,,2024-00733(119),4,9
1935,54015468E,4,2,教員室,2215,40:c2:ba:47:08:9b,a0:d3:65:79:64:4f,,1,13,4,1,0,,2024-00733(120),4,9
1936,54015205E,4,2,教員室,2216,40:c2:ba:47:08:c8,a0:d3:65:22:0e:c0,,1,13,4,1,0,,2024-00733(121),4,9
1937,54015171E,5,3,SR206教員室,2217,40:c2:ba:47:08:e4,a0:d3:65:22:19:79,,1,13,4,1,0,,2024-00733(126),4,9
1938,54015359E,5,3,SR206教員室,2218,40:c2:ba:47:08:e2,a0:d3:65:22:0e:75,,1,13,4,1,0,,2024-00733(127),4,9
1939,54015154E,5,3,SR206教員室,2219,40:c2:ba:46:f7:3d,a0:d3:65:79:51:99,,1,13,4,1,0,,2024-00733(128),4,9
1940,54015150E,30,3,教員室,2220,40:c2:ba:46:f7:7a,a0:d3:65:79:4f:0a,,1,13,4,1,0,,2024-00733(164),4,9
1941,54015180E,2,3,T206教員室,2221,40:c2:ba:46:d4:24,a0:d3:65:20:63:b8,,1,13,4,1,0,,2024-00733(170),4,9
1942,54015303E,3,4,B328教員室,2222,40:c2:ba:47:08:f1,a0:d3:65:44:e6:89,,1,13,4,1,0,,2024-00733(180),4,9
1943,54015157E,12,4,MiCSカウンタ,900,40:c2:ba:46:f7:70,a0:d3:65:79:4f:28,subop用,1,13,9,1,0,,2024-00733(015),,9
1944,54015272E,12,4,MiCSカウンタ,896,40:c2:ba:46:d4:4a,a0:d3:65:22:18:98,教員ヘルプ用,1,13,9,1,0,,2024-00733(016),,9
1945,54015111E,12,4,MiCSカウンタ,897,40:c2:ba:46:f7:43,a0:d3:65:79:4e:e7,,1,13,9,1,0,,2024-00733(017),,9
1946,54015219E,12,4,MiCSカウンタ,898,bc:ec:a0:3f:18:fd,a0:d3:65:22:19:60,,1,13,9,1,0,,2024-00733(018),,9
1947,54015358E,12,4,MiCSカウンタ,899,40:c2:ba:46:f7:41,a0:d3:65:79:64:86,,1,13,9,1,0,,2024-00733(019),,9
1948,54015252E,12,4,MiCSカウンタ,2144,bc:ec:a0:3f:18:2b,a0:d3:65:22:19:88,,1,13,9,1,0,,2024-00733(020),,9
1949,54015181E,12,4,MiCSカウンタ,2145,40:c2:ba:46:d4:4d,a0:d3:65:22:18:7f,,1,13,9,1,0,,2024-00733(021),,9
1950,54015276E,12,4,コンテンツ室カウンタ,901,40:c2:ba:46:f7:5f,a0:d3:65:5b:16:2a,,1,13,9,1,0,,2024-00733(022),,9
1951,54015332E,12,4,情報センター,873,40:c2:ba:46:f7:a8,a0:d3:65:46:f1:f4,塚本さん動作確認用,1,13,8,1,0,,2024-00733(041),,9
1952,54015825E,12,4,開発作業室,2223,40:c2:ba:46:f7:b9,a0:d3:65:51:9d:f7,,1,13,8,1,0,,2024-00733(035),,9
1953,54015235E,12,4,開発作業室,2224,40:c2:ba:46:d4:2a,a0:d3:65:22:19:24,,1,13,8,1,0,,2024-00733(036),,9
